GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G3400370,Sussex County,141483,0.3611709805627509,0.4098,94520,0.1,0.928026688718786,0.02325367712021939,0.00026151551776538523,0.020942445382130716,0.04936017233262479,0.8313266569145944,0.8542728059213688
G3400390,Union County,554033,0.3596270884005481,0.4945,80198,0.2,0.549120720245906,0.21170580091799587,0.0030178707766504885,0.05113052832593004,0.09500803682326295,0.5857412638544773,0.939851780072874
G3400410,Warren County,105862,0.3302071483372576,0.4185,81307,0.2,0.8849728892331526,0.04484139729081257,0.0016247567587991914,0.026562883754321663,0.07561808312714578,0.7169307716353668,0.9145426956655598
G3500010,Bernalillo County,677858,0.34410846643139864,0.477,53329,0.2,0.7425404730784324,0.02969205939887115,0.04919761956043891,0.026384582021603344,0.16688107073541342,0.6298417252212373,0.9112009721328718
G3500030,Catron County,3526,0.1567453328636844,0.383,41910,1.3,0.9787294384571753,0,0.0005672149744753262,0,0.1644585253456221,0.8769811320754717,0.3527689030883919
G3500050,Chaves County,65144,0.17960554937883694,0.4608,43359,0.3,0.8755679724917107,0.015534815178681076,0.016655409554218348,0.009532727496008841,0.19438376547313768,0.6888850712935922,0.8535503500861469
G3500060,Cibola County,26891,0.14194331090768722,0.4545,39413,0.7,0.4809043918039493,0.011044587408426612,0.41545498493919897,0.0014874865196534157,0.26128918356938285,0.6868396876435462,0.7640607177327366
G3500070,Colfax County,12168,0.21715348430149875,0.4291,36302,0.6,0.8542077580539119,0.007314266929651545,0.0195595003287311,0.004273504273504274,0.20010368066355624,0.7102340679993165,0.5691365227537923
G3500090,Curry County,49732,0.19194995742451038,0.4453,45092,0.4,0.663999034826671,0.05067159977479289,0.00995334995576289,0.01292930105364755,0.20928703513457983,0.5701962475738624,0.8721493393520477
G3500110,De Baca County,2040,0.13013100436681221,0.4282,31625,4.5,0.6686274509803921,0.01568627450980392,0.0024509803921568627,0.003431372549019608,0.16029776674937965,0.6264880952380952,0.6153846153846154
G3500130,Do�a Ana County,216069,0.2713999908367568,0.4918,40973,0.2,0.8714808695370461,0.01807293040649052,0.011246407397636866,0.011232522944059537,0.2641582069122847,0.6309318876698954,0.885604741913831
G3500150,Eddy County,57732,0.16211572023090348,0.4322,65328,0.3,0.9010427492551791,0.015693203076283517,0.017009630707406638,0.0045901752927319335,0.14633074299377616,0.6949320031998494,0.8647054036458334
G3500170,Grant County,27669,0.288192529456004,0.504,37843,0.5,0.9263074198561567,0.009938920813907261,0.021251219776645344,0.006324767790668257,0.23956981272019284,0.6807020504598768,0.7863446353924756
G3500190,Guadalupe County,4353,0.07557436517533253,0.4691,24798,5.5,0.7799218929473926,0.00781070526073972,0.058350562830232024,0.002067539627842867,0.15369863013698631,0.6264450867052023,0.5183520599250936
G3500210,Harding County,441,0.21690140845070421,0.6097,29375,5.5,0.8231292517006803,0,0,0,0.14285714285714285,0.6540284360189573,0.37213403880070545
G3500230,Hidalgo County,4297,0.14607876135981152,0.4711,42526,1.1,0.938096346288108,0.012566907144519432,0.015359553176634861,0,0.25794884054506334,0.7063728409767719,0.6841890790546047
G3500250,Lea County,70277,0.13608345187292556,0.4423,60546,0.3,0.8838880430297252,0.03830556227499751,0.010188255047881952,0.005720221409565007,0.15820061221773657,0.6679838387426187,0.8464111236377302
G3500270,Lincoln County,19461,0.25756336876533115,0.4648,46216,0.5,0.9682441806690304,0.005344021376085505,0.005806484764400596,0.0006680026720106881,0.10568596765779864,0.8057097541633624,0.4167217448777264
G3500280,Los Alamos County,18625,0.6740573152337859,0.3909,121324,0.8,0.855248322147651,0.00574496644295302,0.010577181208053692,0.04971812080536913,0.0436353829557713,0.7411423527928382,0.9459685114503816
G3500290,Luna County,24083,0.1252031463303647,0.4726,29360,0.9,0.9230992816509571,0.015820288170078477,0.009467259062409169,0.008263090146576424,0.27677817198851157,0.6089398023360287,0.7888721538052627
G3500310,McKinley County,72438,0.11432319942091929,0.512,33834,0.3,0.14392998150142192,0.006543526878157873,0.7589524835031337,0.011444269582263453,0.3482442811938051,0.7091968293381721,0.7959106111280024
G3500330,Mora County,4536,0.11000568504832291,0.4764,28446,4.1,0.6593915343915344,0.0004409171075837742,0.0026455026455026454,0,0.1996904024767802,0.8552247518972563,0.574639382757464
G3500350,Otero County,66137,0.17476307395764015,0.4724,41988,0.4,0.7909188502653582,0.035426463250525425,0.0680859428156705,0.012973071049488184,0.22104538982128857,0.641956503342642,0.744495196093873
G3500370,Quay County,8326,0.17076871207012811,0.4462,29035,1.7,0.8855392745616142,0.016574585635359115,0.01921691088157579,0.00900792697573865,0.20373326783740636,0.6148026315789473,0.5342706502636204
G3500390,Rio Arriba County,39159,0.19262448521153125,0.5084,39952,0.5,0.5305293802191067,0.006409765315763937,0.16292550882300366,0.004877550499246661,0.24046596548975235,0.7685781618224666,0.630697582243361
G3500410,Roosevelt County,18888,0.23934153333949876,0.4456,42702,0.4,0.754711986446421,0.02806014400677679,0.009953409572215162,0.006406183820415078,0.2491133254517818,0.5846786028764309,0.7999530406198638
G3500430,Sandoval County,142704,0.304697232717247,0.4209,63802,0.3,0.7207856822513735,0.023313992600067272,0.12808330530328513,0.013846843816571364,0.12749530254439626,0.7859061587027706,0.9013166033401078
G3500450,San Juan County,126515,0.14948630556849668,0.4462,50518,0.1,0.5229419436430462,0.008228273327273446,0.39626131288779987,0.007777733865549539,0.20957578485428152,0.7101896881554383,0.8488447166082993
G3500470,San Miguel County,27738,0.21428207609636835,0.504,30946,0.8,0.6086235489220564,0.01315884346384022,0.013771721104621819,0.012293604441560314,0.2824284568066328,0.7034197605306228,0.7262887887887888
G3500490,Santa Fe County,149293,0.41040937150283385,0.4882,61200,0.2,0.8378825531002794,0.010543026129825243,0.032486452814264564,0.012652971003329024,0.12810255291888722,0.708967878425736,0.8483723351783855
G3500510,Sierra County,11031,0.21082522021325917,0.5346,29755,0.4,0.8981053394977789,0.003988758952044239,0.043604387634847246,0.007524249841356178,0.266510757717493,0.7391539153915392,0.6493278784336646
G3500530,Socorro County,16858,0.2195188379482524,0.4472,42083,0.9,0.7971882785621071,0.0056353066793213905,0.12201921936172737,0.0328034167754182,0.2967884828349945,0.7336283185840708,0.5489434053922759
G3500550,Taos County,32786,0.2871291197501438,0.4874,38329,0.3,0.844323796742512,0.004697126822424205,0.064997254925883,0.008601232233270297,0.18338601282720104,0.7641906965215236,0.5786479250334672
G3500570,Torrance County,15519,0.1484164576948082,0.4594,36120,1,0.9099813132289452,0.007796894129776403,0.0032218570784200012,0.0014820542560732006,0.23699498283601797,0.8322111977321048,0.7032145527037129
G3500590,Union County,4133,0.11721854304635762,0.4976,35884,2.6,0.8669247519961287,0.016210984756835228,0.020808129687878055,0.00024195499637067505,0.194090382387022,0.6494623655913978,0.5943757988922028
G3500610,Valencia County,76027,0.18520971732481348,0.4353,48945,0.6,0.830191905507254,0.013929261972720219,0.04284004366869665,0.009299327870361845,0.1688369459721773,0.8148833765272121,0.8654832094334786
G3600010,Albany County,306968,0.4182258269161323,0.46,66252,0.2,0.7533228219228063,0.12390542336660498,0.001609288264574809,0.06577884339735737,0.11873645453015466,0.5637822032558875,0.8939407854301922
G3600030,Allegany County,46688,0.20866901924229309,0.44,48412,0.4,0.9545279300891021,0.014993145990404386,0.002291809458533242,0.011737491432488005,0.16882276843467012,0.7620904836193447,0.6805444962651196
G3600050,Bronx County,1435068,0.20068936878863444,0.5118,40088,0.1,0.21987320461469423,0.35177009033718265,0.007049143315856809,0.03692438267733655,0.2800546438331806,0.19691601714073625,0.9509867949172889
G3600070,Broome County,193188,0.2838034107946027,0.4652,52226,0.3,0.8546493571029257,0.056514897405635964,0.0018013541213739983,0.04342402219599561,0.1741052207040511,0.6516823893365924,0.8636883425329316
G3600090,Cattaraugus County,77121,0.1907510075876554,0.4326,48703,0.2,0.9188029200866171,0.014470766717236551,0.03222209255585379,0.007909648474475176,0.16502631261800507,0.7167626419962868,0.763991729974036
G3600110,Cayuga County,77425,0.2259001370950285,0.4351,58377,0.3,0.9177397481433646,0.04266063932838231,0.0013690668388763318,0.005695834678721343,0.12096752052274662,0.7126933794561353,0.8420584189659358
G3600130,Chautauqua County,128496,0.2224828803467498,0.4519,46820,0.2,0.9223244303324617,0.02597746233345785,0.003190760801892666,0.005626634292118043,0.18198511488836167,0.6925105982100801,0.7846108359819647
G3600150,Chemung County,84895,0.23258506140527482,0.4423,54940,0.4,0.8806879085929677,0.06271276282466576,0.002944814182225102,0.013369456387301961,0.13872659549288055,0.6830739356850746,0.8744275791098534
G3600170,Chenango County,47909,0.18652457488935476,0.4329,52002,0.3,0.9609259220605731,0.009747646579974536,0.003590139639733662,0.004550293264313595,0.13534537725823592,0.7447456153065661,0.8076878048780488
G3600190,Clinton County,80583,0.22859575084675154,0.4278,56365,0.4,0.9088393333581525,0.042775771564722086,0.0027425139297370415,0.014060037476887185,0.15000619178006797,0.6648349892974665,0.8557797462817148
